port,service,description
0,,Reserved
1,tcpmux,TCP Port Service Multiplexer
2,compressnet,Management Utility
3,compressnet,Compression Process
4,,
5,rje,Remote Job Entry
6,,
7,echo,Echo
8,,
9,discard,Discard
10,,
11,systat,Active Users
12,,
13,daytime,Daytime
14,,
15,,Unassigned [was netstat]
16,,
17,qotd,Quote of the Day
18,msp,Message Send Protocol (historic)
19,chargen,Character Generator
20,ftp-data,FTP
21,ftp,FTP
22,ssh,SSH
23,telnet,Telnet
24,,any private mail system
25,smtp,Simple Mail Transfer
26,,
27,nsw-fe,NSW User System FE
28,,
29,msg-icp,MSG ICP
30,,
31,msg-auth,MSG Authentication
32,,
33,dsp,Display Support Protocol
34,,
35,,any private printer server
36,,
37,time,Time
38,rap,Route Access Protocol
39,rlp,Resource Location Protocol
40,,
41,graphics,Graphics
42,nameserver,Host Name Server
43,nicname,Who Is
44,mpm-flags,MPM FLAGS Protocol
45,mpm,Message Processing Module [recv]
46,mpm-snd,MPM [default send]
47,,Reserved
48,auditd,Digital Audit Daemon
49,tacacs,Login Host Protocol (TACACS)
50,re-mail-ck,Remote Mail Checking Protocol
51,,Reserved
52,xns-time,XNS Time Protocol
53,domain,Domain Name Server
54,xns-ch,XNS Clearinghouse
55,isi-gl,ISI Graphics Language
56,xns-auth,XNS Authentication
57,,any private terminal access
58,xns-mail,XNS Mail
59,,any private file service
60,,
61,,Reserved
62,acas,ACA Services
63,whois++,whois++
64,covia,Communications Integrator (CI)
65,tacacs-ds,TACACS-Database Service
66,sql*net,Oracle SQL*NET
67,bootps,Bootstrap Protocol Server
68,bootpc,Bootstrap Protocol Client
69,tftp,Trivial File Transfer
70,gopher,Gopher
71,netrjs-1,Remote Job Service
72,netrjs-2,Remote Job Service
73,netrjs-3,Remote Job Service
74,netrjs-4,Remote Job Service
75,,any private dial out service
76,deos,Distributed External Object Store
77,,any private RJE service
78,vettcp,vettcp
79,finger,Finger
80,http,HTTP
81,,
82,xfer,XFER Utility
83,mit-ml-dev,MIT ML Device
84,ctf,Common Trace Facility
85,mit-ml-dev,MIT ML Device
86,mfcobol,Micro Focus Cobol
87,,any private terminal link
88,kerberos,Kerberos
89,su-mit-tg,SU/MIT Telnet Gateway
90,dnsix,DNSIX Securit Attribute Token Map
91,mit-dov,MIT Dover Spooler
92,npp,Network Printing Protocol
93,dcp,Device Control Protocol
94,objcall,Tivoli Object Dispatcher
95,supdup,SUPDUP
96,dixie,DIXIE Protocol Specification
97,swift-rvf,Swift Remote Virtural File Protocol
98,tacnews,TAC News
99,metagram,Metagram Relay
100,,
101,hostname,NIC Host Name Server
102,iso-tsap,ISO-TSAP Class 0
103,gppitnp,Genesis Point-to-Point Trans Net
104,acr-nema,ACR-NEMA Digital Imag. & Comm. 300
105,csnet-ns,Mailbox Name Nameserver
106,3com-tsmux,3COM-TSMUX
107,rtelnet,Remote Telnet Service
108,snagas,SNA Gateway Access Server
109,pop2,Post Office Protocol - Version 2
110,pop3,Post Office Protocol - Version 3
111,sunrpc,SUN Remote Procedure Call
112,mcidas,McIDAS Data Transmission Protocol
113,auth,Authentication Service
114,,
115,sftp,Simple File Transfer Protocol
116,ansanotify,ANSA REX Notify
117,uucp-path,UUCP Path Service
118,sqlserv,SQL Services
119,nntp,Network News Transfer Protocol
120,cfdptkt,CFDPTKT
121,erpc,Encore Expedited Remote Pro.Call
122,smakynet,SMAKYNET
123,ntp,Network Time Protocol
124,ansatrader,ANSA REX Trader
125,locus-map,Locus PC-Interface Net Map Ser
126,nxedit,NXEdit
127,locus-con,Locus PC-Interface Conn Server
128,gss-xlicen,GSS X License Verification
129,pwdgen,Password Generator Protocol
130,cisco-fna,cisco FNATIVE
131,cisco-tna,cisco TNATIVE
132,cisco-sys,cisco SYSMAINT
133,statsrv,Statistics Service
134,ingres-net,INGRES-NET Service
135,epmap,DCE endpoint resolution
136,profile,PROFILE Naming System
137,netbios-ns,NETBIOS Name Service
138,netbios-dgm,NETBIOS Datagram Service
139,netbios-ssn,NETBIOS Session Service
140,emfis-data,EMFIS Data Service
141,emfis-cntl,EMFIS Control Service
142,bl-idm,Britton-Lee IDM
143,imap,Internet Message Access Protocol
144,uma,Universal Management Architecture
145,uaac,UAAC Protocol
146,iso-tp0,ISO-IP0
147,iso-ip,ISO-IP
148,jargon,Jargon
149,aed-512,AED 512 Emulation Service
150,sql-net,SQL-NET
151,hems,HEMS
152,bftp,Background File Transfer Program
153,sgmp,SGMP
154,netsc-prod,NETSC
155,netsc-dev,NETSC
156,sqlsrv,SQL Service
157,knet-cmp,KNET/VM Command/Message Protocol
158,pcmail-srv,PCMail Server
159,nss-routing,NSS-Routing
160,sgmp-traps,SGMP-TRAPS
161,snmp,SNMP
162,snmptrap,SNMPTRAP
163,cmip-man,CMIP/TCP Manager
164,cmip-agent,CMIP/TCP Agent
165,xns-courier,Xerox
166,s-net,Sirius Systems
167,namp,NAMP
168,rsvd,RSVD
169,send,SEND
170,print-srv,Network PostScript
171,multiplex,Network Innovations Multiplex
172,cl/1,Network Innovations CL/1
173,xyplex-mux,Xyplex
174,mailq,MAILQ
175,vmnet,VMNET
176,genrad-mux,GENRAD-MUX
177,xdmcp,X Display Manager Control Protocol
178,nextstep,NextStep Window Server
179,bgp,BGP
180,ris,Intergraph
181,unify,Unify
182,audit,Unisys Audit SITP
183,ocbinder,OCBinder
184,ocserver,OCServer
185,remote-kis,Remote-KIS
186,kis,KIS Protocol
187,aci,Application Communication Interface
188,mumps,Plus Five's MUMPS
189,qft,Queued File Transport
190,gacp,Gateway Access Control Protocol
191,prospero,Prospero Directory Service
192,osu-nms,OSU Network Monitoring System
193,srmp,Spider Remote Monitoring Protocol
194,irc,Internet Relay Chat Protocol
195,dn6-nlm-aud,DNSIX Network Level Module Audit
196,dn6-smm-red,DNSIX Session Mgt Module Audit Redir
197,dls,Directory Location Service
198,dls-mon,Directory Location Service Monitor
199,smux,SMUX
200,src,IBM System Resource Controller
201,at-rtmp,AppleTalk Routing Maintenance
202,at-nbp,AppleTalk Name Binding
203,at-3,AppleTalk Unused
204,at-echo,AppleTalk Echo
205,at-5,AppleTalk Unused
206,at-zis,AppleTalk Zone Information
207,at-7,AppleTalk Unused
208,at-8,AppleTalk Unused
209,qmtp,The Quick Mail Transfer Protocol
210,z39.50,ANSI Z39.50
211,914c/g,Texas Instruments 914C/G Terminal
212,anet,ATEXSSTR
213,ipx,IPX
214,vmpwscs,VM PWSCS
215,softpc,Insignia Solutions
216,CAIlic,Computer Associates Int'l License Server
217,dbase,dBASE Unix
218,mpp,Netix Message Posting Protocol
219,uarps,Unisys ARPs
220,imap3,Interactive Mail Access Protocol v3
221,fln-spx,Berkeley rlogind with SPX auth
222,rsh-spx,Berkeley rshd with SPX auth
223,cdc,Certificate Distribution Center
224,masqdialer,masqdialer
242,direct,Direct
243,sur-meas,Survey Measurement
244,inbusiness,inbusiness
245,link,LINK
246,dsp3270,Display Systems Protocol
247,subntbcst_tftp,SUBNTBCST_TFTP
248,bhfhs,bhfhs
256,rap,RAP
257,set,Secure Electronic Transaction
258,,
259,esro-gen,Efficient Short Remote Operations
260,openport,Openport
261,nsiiops,IIOP Name Service over TLS/SSL
262,arcisdms,Arcisdms
263,hdap,HDAP
264,bgmp,BGMP
265,x-bone-ctl,X-Bone CTL
266,sst,SCSI on ST
267,td-service,Tobit David Service Layer
268,td-replica,Tobit David Replica
269,manet,MANET Protocols
270,gist,Q-mode encapsulation for GIST messages
280,http-mgmt,http-mgmt
281,personal-link,Personal Link
282,cableport-ax,Cable Port A/X
283,rescap,rescap
284,corerjd,corerjd
286,fxp,FXP Communication
287,k-block,K-BLOCK
308,novastorbakcup,Novastor Backup
309,entrusttime,EntrustTime
310,bhmds,bhmds
311,asip-webadmin,AppleShare IP WebAdmin
312,vslmp,VSLMP
313,magenta-logic,Magenta Logic
314,opalis-robot,Opalis Robot
315,dpsi,DPSI
316,decauth,decAuth
317,zannet,Zannet
318,pkix-timestamp,PKIX TimeStamp
319,ptp-event,PTP Event
320,ptp-general,PTP General
321,pip,PIP
322,rtsps,RTSPS
323,texar,Texar Security Port
324,pdap,Prospero Data Access Protocol
333,pawserv,Perf Analysis Workbench
344,zserv,Zebra server
345,fatserv,Fatmen Server
346,csi-sgwp,Cabletron Management Protocol
347,mftp,mftp
348,matip-type-a,MATIP Type A
349,bhoetty,bhoetty
350,bhoedap4,bhoedap4
351,ndsauth,NDSAUTH
352,bh611,bh611
353,datex-asn,DATEX-ASN
354,cloanto-net-1,Cloanto Net 1
355,bhevent,bhevent
356,shrinkwrap,Shrinkwrap
357,nsrmp,Network Security Risk Management Protocol
358,scoi2odialog,scoi2odialog
359,semantix,Semantix
360,srssend,SRS Send
361,rsvp_tunnel,RSVP Tunnel
362,aurora-cmgr,Aurora CMGR
363,dtk,DTK
364,odmr,ODMR
365,mortgageware,MortgageWare
366,qbikgdp,QbikGDP
367,rpc2portmap,rpc2portmap
368,codaauth2,codaauth2
369,clearcase,Clearcase
370,ulistproc,ListProcessor
371,legent-1,Legent Corporation
372,legent-2,Legent Corporation
373,hassle,Hassle
374,nip,Amiga Envoy Network Inquiry Proto
375,tnETOS,NEC Corporation
376,dsETOS,NEC Corporation
377,is99c,TIA/EIA/IS-99 modem client
378,is99s,TIA/EIA/IS-99 modem server
379,hp-collector,hp performance data collector
380,hp-managed-node,hp performance data managed node
381,hp-alarm-mgr,hp performance data alarm manager
382,arns,A Remote Network Server System
383,ibm-app,IBM Application
384,asa,ASA Message Router Object Def.
385,aurp,Appletalk Update-Based Routing Pro.
386,unidata-ldm,Unidata LDM
387,ldap,Lightweight Directory Access Protocol
388,uis,UIS
389,synotics-relay,SynOptics SNMP Relay Port
390,synotics-broker,SynOptics Port Broker Port
391,meta5,Meta5
392,embl-ndt,EMBL Nucleic Data Transfer
393,netcp,NetScout Control Protocol
394,netware-ip,Novell Netware over IP
395,mptn,Multi Protocol Trans. Net.
396,kryptolan,Kryptolan
397,iso-tsap-c2,ISO Transport Class 2 Non-Control over UDP
398,osb-sd,Oracle Secure Backup
399,ups,Uninterruptible Power Supply
400,genie,Genie Protocol
401,decap,decap
402,nced,nced
403,ncld,ncld
404,imsp,Interactive Mail Support Protocol
405,timbuktu,Timbuktu
406,prm-sm,Prospero Resource Manager Sys. Man.
407,prm-nm,Prospero Resource Manager Node Man.
408,decladebug,DECLadebug Remote Debug Protocol
409,rmt,Remote MT Protocol
410,synoptics-trap,Trap Convention Port
411,smsp,Storage Management Services Protocol
412,infoseek,InfoSeek
413,bnet,BNet
414,silverplatter,Silverplatter
415,onmux,Onmux
416,hyper-g,Hyper-G
417,ariel1,Ariel 1
418,smpte,SMPTE
419,ariel2,Ariel 2
420,ariel3,Ariel 3
421,opc-job-start,IBM Operations Planning and Control Start
422,opc-job-track,IBM Operations Planning and Control Track
423,icad-el,ICAD
424,smartsdp,smartsdp
425,svrloc,Server Location
426,ocs_cmu,OCS_CMU
427,ocs_amu,OCS_AMU
428,utmpsd,UTMPSD
429,utmpcd,UTMPCD
430,iasd,IASD
431,nnsp,NNTP for transit servers (NNSP)
432,mobileip-agent,MobileIP-Agent
433,mobilip-mn,MobilIP-MN
434,dna-cml,DNA-CML
435,comscm,comscm
436,dsfgw,dsfgw
437,dasp,dasp
438,sgcp,sgcp
439,decvms-sysmgt,decvms-sysmgt
440,cvc_hostd,cvc_hostd
441,https,HTTPS
442,snpp,Simple Network Paging Protocol
443,microsoft-ds,Microsoft-DS
444,ddm-rdb,DDM-Remote Relational Database Access
445,ddm-dfm,DDM-Distributed File Management
446,ddm-ssl,DDM-Remote DB Access Using Secure Sockets
447,as-servermap,AS Server Mapper
448,tserver,Computer Supported Telecomunication Applications
449,sfs-smp-net,Cray Network Semaphore server
450,sfs-config,Cray SFS config server
451,creativeserver,CreativeServer
452,contentserver,ContentServer
453,creativepartnr,CreativePartnr
454,macon-udp,macon-udp
455,scohelp,scohelp
456,appleqtc,apple quick time
457,ampr-rcmd,ampr-rcmd
458,skronk,skronk
459,datasurfsrv,DataRampSrv
460,datasurfsrvsec,DataRampSrvSec
461,alpes,alpes
462,kpasswd,kpasswd
463,igmpv3lite,IGMP over UDP for SSM
464,digital-vrc,digital-vrc
465,mylex-mapd,mylex-mapd
466,photuris,proturis
467,rcp,Radio Control Protocol
468,scx-proxy,scx-proxy
469,mondex,Mondex
470,ljk-login,ljk-login
471,hybrid-pop,hybrid-pop
472,tn-tl-w2,tn-tl-w2
473,tcpnethaspsrv,tcpnethaspsrv
474,tn-tl-fd1,tn-tl-fd1
475,ss7ns,ss7ns
476,spsc,spsc
477,iafserver,iafserver
478,iafdbase,iafdbase
479,ph,Ph service
480,bgs-nsi,bgs-nsi
481,ulpnet,ulpnet
482,integra-sme,Integra Software Management Environment
483,powerburst,Air Soft Power Burst
484,avian,avian
485,saft,saft Simple Asynchronous File Transfer
486,gss-http,gss-http
487,nest-protocol,nest-protocol
488,micom-pfs,micom-pfs
489,go-login,go-login
490,ticf-1,Transport Independent Convergence for FNA
491,ticf-2,Transport Independent Convergence for FNA
492,pov-ray,POV-Ray
493,intecourier,intecourier
494,pim-rp-disc,PIM-RP-DISC
495,retrospect,Retrospect backup and restore service
496,siam,siam
497,iso-ill,ISO ILL Protocol
498,isakmp,isakmp
499,stmf,STMF
500,mbap,Modbus Application Protocol
501,intrinsa,Intrinsa
502,citadel,citadel
503,mailbox-lm,mailbox-lm
504,ohimsrv,ohimsrv
505,crs,crs
506,xvttp,xvttp
507,snare,snare
508,fcp,FirstClass Protocol
509,passgo,PassGo
510,biff,used by mail system to notify users of new mail received; currently receives messages only from processes on the same machine
511,who,maintains data bases showing who's logged in to machines on a local net and the load average of the machine
512,syslog,
513,printer,spooler
514,videotex,videotex
515,talk,"like tenex link, but across machine - unfortunately, doesn't use link protocol (this is actually just a rendezvous port from which a tcp connection is established)"
516,ntalk,
517,utime,unixtime
518,router,local routing process (on site); uses variant of Xerox NS routing information protocol - RIP
519,ripng,ripng
520,ulp,ULP
521,ibm-db2,IBM-DB2
522,ncp,NCP
523,timed,timeserver
524,tempo,newdate
525,stx,Stock IXChange
526,custix,Customer IXChange
527,irc-serv,IRC-SERV
528,courier,rpc
529,conference,chat
530,netnews,readnews
531,netwall,for emergency broadcasts
532,windream,windream Admin
533,iiop,iiop
534,opalis-rdv,opalis-rdv
535,nmsp,Networked Media Streaming Protocol
536,gdomap,gdomap
537,apertus-ldp,Apertus Technologies Load Determination
538,uucp,uucpd
539,uucp-rlogin,uucp-rlogin
540,commerce,commerce
541,klogin,
542,kshell,krcmd
543,appleqtcsrvr,appleqtcsrvr
544,dhcpv6-client,DHCPv6 Client
545,dhcpv6-server,DHCPv6 Server
546,afpovertcp,AFP over TCP
547,idfp,IDFP
548,new-rwho,new-who
549,cybercash,cybercash
550,devshr-nts,DeviceShare
551,pirp,pirp
552,rtsp,Real Time Streaming Protocol (RTSP)
553,dsf,
554,remotefs,rfs server
555,openvms-sysipc,openvms-sysipc
556,sdnskmp,SDNSKMP
557,teedtap,TEEDTAP
558,rmonitor,rmonitord
559,monitor,
560,chshell,chcmd
561,nntps,nntp protocol over TLS/SSL (was snntp)
562,9pfs,plan 9 file service
563,whoami,whoami
564,streettalk,streettalk
565,banyan-rpc,banyan-rpc
566,ms-shuttle,microsoft shuttle
567,ms-rome,microsoft rome
568,meter,demon
569,meter,udemon
570,sonar,sonar
571,banyan-vip,banyan-vip
572,ftp-agent,FTP Software Agent System
573,vemmi,VEMMI
574,ipcd,ipcd
575,vnas,vnas
576,ipdd,ipdd
577,decbsrv,decbsrv
578,sntp-heartbeat,SNTP HEARTBEAT
579,bdp,Bundle Discovery Protocol
580,scc-security,SCC Security
581,philips-vc,Philips Video-Conferencing
582,keyserver,Key Server
583,,De-registered
584,password-chg,Password Change
585,submission,Message Submission
586,cal,CAL
587,eyelink,EyeLink
588,tns-cml,TNS CML
589,http-alt,"FileMaker, Inc. - HTTP Alternate (see Port 80)"
590,eudora-set,Eudora Set
591,http-rpc-epmap,HTTP RPC Ep Map
592,tpip,TPIP
593,cab-protocol,CAB Protocol
594,smsd,SMSD
595,ptcnameservice,PTC Name Service
596,sco-websrvrmg3,SCO Web Server Manager 3
597,acp,Aeolon Core Protocol
598,ipcserver,Sun IPC server
599,syslog-conn,Reliable Syslog Service
600,xmlrpc-beep,XML-RPC over BEEP
601,idxp,IDXP
602,tunnel,TUNNEL
603,soap-beep,SOAP over BEEP
604,urm,Cray Unified Resource Manager
605,nqs,nqs
606,sift-uft,Sender-Initiated/Unsolicited File Transfer
607,npmp-trap,npmp-trap
608,npmp-local,npmp-local
609,npmp-gui,npmp-gui
610,hmmp-ind,HMMP Indication
611,hmmp-op,HMMP Operation
612,sshell,SSLshell
613,sco-inetmgr,Internet Configuration Manager
614,sco-sysmgr,SCO System Administration Server
615,sco-dtmgr,SCO Desktop Administration Server
616,dei-icda,DEI-ICDA
617,compaq-evm,Compaq EVM
618,sco-websrvrmgr,SCO WebServer Manager
619,escp-ip,ESCP
620,collaborator,Collaborator
621,asf-rmcp,ASF Remote Management and Control Protocol
622,cryptoadmin,Crypto Admin
623,dec_dlm,DEC DLM
624,asia,ASIA
625,passgo-tivoli,PassGo Tivoli
626,qmqp,QMQP
627,3com-amp3,3Com AMP3
628,rda,RDA
629,ipps,Internet Printing Protocol over HTTPS
630,bmpp,bmpp
631,servstat,Service Status update (Sterling Software)
632,ginad,ginad
633,rlzdbase,RLZ DBase
634,ldaps,ldap protocol over TLS/SSL (was sldap)
635,lanserver,lanserver
636,mcns-sec,mcns-sec
637,msdp,MSDP
638,entrust-sps,entrust-sps
639,repcmd,repcmd
640,esro-emsdp,ESRO-EMSDP V1.3
641,sanity,SANity
642,dwr,dwr
643,pssc,PSSC
644,ldp,LDP
645,dhcp-failover,DHCP Failover
646,rrp,Registry Registrar Protocol (RRP)
647,cadview-3d,Cadview-3d - streaming 3d models over the internet
648,obex,OBEX
649,ieee-mms,IEEE MMS
650,hello-port,HELLO_PORT
651,repscmd,RepCmd
652,aodv,AODV
653,tinc,TINC
654,spmp,SPMP
655,rmc,RMC
656,tenfold,TenFold
657,,Removed
658,mac-srvr-admin,MacOS Server Admin
659,hap,HAP
660,pftp,PFTP
661,purenoise,PureNoise
662,asf-secure-rmcp,ASF Secure Remote Management and Control Protocol
663,sun-dr,Sun DR
664,doom,doom Id Software
665,disclose,campaign contribution disclosures - SDR Technologies
666,mecomm,MeComm
667,meregister,MeRegister
668,vacdsm-sws,VACDSM-SWS
669,vacdsm-app,VACDSM-APP
670,vpps-qua,VPPS-QUA
671,cimplex,CIMPLEX
672,acap,ACAP
673,dctp,DCTP
674,vpps-via,VPPS Via
675,vpp,Virtual Presence Protocol
676,ggf-ncp,GNU Generation Foundation NCP
677,mrm,MRM
678,entrust-aaas,entrust-aaas
679,entrust-aams,entrust-aams
680,xfr,XFR
681,corba-iiop,CORBA IIOP
682,corba-iiop-ssl,CORBA IIOP SSL
683,mdc-portmapper,MDC Port Mapper
684,hcp-wismar,Hardware Control Protocol Wismar
685,asipregistry,asipregistry
686,realm-rusd,ApplianceWare managment protocol
687,nmap,NMAP
688,vatp,Velneo Application Transfer Protocol
689,msexch-routing,MS Exchange Routing
690,hyperwave-isp,Hyperwave-ISP
691,connendp,almanid Connection Endpoint
692,ha-cluster,ha-cluster
693,ieee-mms-ssl,IEEE-MMS-SSL
694,rushd,RUSHD
695,uuidgen,UUIDGEN
696,olsr,OLSR
697,accessnetwork,Access Network
698,epp,Extensible Provisioning Protocol
699,lmp,Link Management Protocol (LMP)
700,iris-beep,IRIS over BEEP
701,elcsd,errlog copy/server daemon
702,agentx,AgentX
704,silc,SILC
705,borland-dsj,Borland DSJ
706,entrust-kmsh,Entrust Key Management Service Handler
707,entrust-ash,Entrust Administration Service Handler
709,cisco-tdp,Cisco TDP
710,tbrpf,TBRPF
711,iris-xpc,IRIS over XPC
712,iris-xpcs,IRIS over XPCS
713,iris-lwz,IRIS-LWZ
714,pana,PANA Messages
715,netviewdm1,IBM NetView DM/6000 Server/Client
716,netviewdm2,IBM NetView DM/6000 send/tcp
729,netviewdm3,IBM NetView DM/6000 receive/tcp
730,netgw,netGW
731,netrcs,Network based Rev. Cont. Sys.
741,flexlm,Flexible License Manager
742,fujitsu-dev,Fujitsu Device Control
744,ris-cm,Russell Info Sci Calendar Manager
747,kerberos-adm,kerberos administration
748,kerberos-iv,kerberos version iv
749,pump,
750,qrh,
751,rrh,
752,tell,send
753,nlogin,
754,con,
758,ns,
759,rxe,
760,quotad,
761,cycleserv,
762,omserv,
763,webster,
764,phonebook,phone
765,vid,
767,cadlock,
769,rtip,
770,cycleserv2,
771,notify,
772,acmaint_dbd,
773,acmaint_transd,
774,wpages,
775,multiling-http,Multiling HTTP
776,wpgs,
777,mdbs_daemon,
780,device,
800,mbap-s,Modbus Application Protocol Secure
801,fcp-udp,FCP Datagram
802,itm-mcell-s,itm-mcell-s
810,pkix-3-ca-ra,PKIX-3 CA/RA
828,netconf-ssh,NETCONF over SSH
829,netconf-beep,NETCONF over BEEP
830,netconfsoaphttp,NETCONF for SOAP over HTTPS
831,netconfsoapbeep,NETCONF for SOAP over BEEP
832,dhcp-failover2,dhcp-failover 2
833,gdoi,GDOI
847,domain-s,DNS query-response protocol run over TLS/DTLS
848,dlep,Dynamic Link Exchange Protocol (DLEP)
853,iscsi,iSCSI
854,owamp-control,OWAMP-Control
860,twamp-control,Two-way Active Measurement Protocol (TWAMP) Control
861,rsync,rsync
862,iclcnet-locate,ICL coNETion locate server
873,iclcnet_svinfo,ICL coNETion server info
886,cddbp,CD Database Protocol
887,omginitialrefs,OMG Initial Refs
888,smpnameres,SMPNAMERES
900,ideafarm-door,self documenting Door: send 0x00 for info
901,ideafarm-panic,self documenting Panic Door: send 0x00 for info
902,kink,Kerberized Internet Negotiation of Keys (KINK)
903,xact-backup,xact-backup
910,apex-mesh,APEX relay-relay service
911,apex-edge,APEX endpoint-relay service
912,,Reserved
913,ftps-data,"ftp protocol, data, over TLS/SSL"
953,ftps,"ftp protocol, control, over TLS/SSL"
989,nas,Netnews Administration System
990,telnets,telnet protocol over TLS/SSL
991,imaps,imap4 protocol over TLS/SSL
992,,Reserved
993,pop3s,pop3 protocol over TLS/SSL (was spop3)
994,vsinet,vsinet
995,maitrd,
996,puparp,
997,puprouter,
998,cadlock2,
999,,Reserved
1000,,Possibly used by Sun Solaris????
1001,surf,surf
1008,,Reserved
1010,,Reserved
1011,,Reserved
1012,,Reserved
1013,,Reserved
1014,,Reserved
1015,,Reserved
1016,,Reserved
1017,,Reserved
1018,,Reserved
1019,exp1,RFC3692-style Experiment 1
1020,exp2,RFC3692-style Experiment 2
1021,,Reserved
1022,,Reserved
1023,blackjack,network blackjack
1024,cap,Calendar Access Protocol
1025,,Reserved
1026,,Deprecated
1027,solid-mux,Solid Mux Server
1028,,Reserved
1029,,Reserved
1030,,Reserved
1031,netinfo-local,local netinfo port
1032,activesync,ActiveSync Notifications
1033,mxxrlogin,MX-XR RPC
1034,nsstp,Nebula Secure Segment Transfer Protocol
1035,ams,AMS
1036,mtqp,Message Tracking Query Protocol
1037,sbl,Streamlined Blackhole
1038,netarx,Netarx Netcare
1039,danf-ak2,AK2 Product
1040,afrog,Subnet Roaming
1041,boinc-client,BOINC Client Control
1042,dcutility,Dev Consortium Utility
1043,fpitp,Fingerprint Image Transfer Protocol
1044,wfremotertm,WebFilter Remote Monitor
1045,neod1,Sun's NEO Object Request Broker
1046,neod2,Sun's NEO Object Request Broker
1047,td-postman,Tobit David Postman VPMN
1048,cma,CORBA Management Agent
1049,optima-vnet,Optima VNET
1050,ddt,Dynamic DNS Tools
1051,remote-as,Remote Assistant (RA)
1052,brvread,BRVREAD
1053,ansyslmd,ANSYS - License Manager
1054,vfo,VFO
1055,startron,STARTRON
1056,nim,nim
1057,nimreg,nimreg
1058,polestar,POLESTAR
1059,kiosk,KIOSK
1060,veracity,Veracity
1061,kyoceranetdev,KyoceraNetDev
1062,jstel,JSTEL
1063,syscomlan,SYSCOMLAN
1064,fpo-fns,FPO-FNS
1065,instl_boots,Installation Bootstrap Proto. Serv.
1066,instl_bootc,Installation Bootstrap Proto. Cli.
1067,cognex-insight,COGNEX-INSIGHT
1068,gmrupdateserv,GMRUpdateSERV
1069,bsquare-voip,BSQUARE-VOIP
1070,cardax,CARDAX
1071,bridgecontrol,Bridge Control
1072,warmspotMgmt,Warmspot Management Protocol
1073,rdrmshc,RDRMSHC
1074,dab-sti-c,DAB STI-C
1075,imgames,IMGames
1076,avocent-proxy,Avocent Proxy Protocol
1077,asprovatalk,ASPROVATalk
1078,socks,Socks
1079,pvuniwien,PVUNIWIEN
1080,amt-esd-prot,AMT-ESD-PROT
1081,ansoft-lm-1,Anasoft License Manager
1082,ansoft-lm-2,Anasoft License Manager
1083,webobjects,Web Objects
1084,cplscrambler-lg,CPL Scrambler Logging
1085,cplscrambler-in,CPL Scrambler Internal
1086,cplscrambler-al,CPL Scrambler Alarm Log
1087,ff-annunc,FF Annunciation
1088,ff-fms,FF Fieldbus Message Specification
1089,ff-sm,FF System Management
1090,obrpd,Open Business Reporting Protocol
1091,proofd,PROOFD
1092,rootd,ROOTD
1093,nicelink,NICELink
1094,cnrprotocol,Common Name Resolution Protocol
1095,sunclustermgr,Sun Cluster Manager
1096,rmiactivation,RMI Activation
1097,rmiregistry,RMI Registry
1098,mctp,MCTP
1099,pt2-discover,PT2-DISCOVER
1100,adobeserver-1,ADOBE SERVER 1
1101,adobeserver-2,ADOBE SERVER 2
1102,xrl,XRL
1103,ftranhc,FTRANHC
1104,isoipsigport-1,ISOIPSIGPORT-1
1105,isoipsigport-2,ISOIPSIGPORT-2
1106,ratio-adp,ratio-adp
1107,,Reserved - IANA
1108,nfsd-keepalive,Client status info
1109,lmsocialserver,LM Social Server
1110,icp,Intelligent Communication Protocol
1111,ltp-deepspace,Licklider Transmission Protocol
1112,mini-sql,Mini SQL
1113,ardus-trns,ARDUS Transfer
1114,ardus-cntl,ARDUS Control
1115,ardus-mtrns,ARDUS Multicast Transfer
1116,sacred,SACRED
1117,bnetgame,Battle.net Chat/Game Protocol
1118,bnetfile,Battle.net File Transfer Protocol
1119,rmpp,Datalode RMPP
1120,availant-mgr,availant-mgr
1121,murray,Murray
1122,hpvmmcontrol,HP VMM Control
1123,hpvmmagent,HP VMM Agent
1124,hpvmmdata,HP VMM Agent
1125,kwdb-commn,KWDB Remote Communication
1126,saphostctrl,SAPHostControl over SOAP/HTTP
1127,saphostctrls,SAPHostControl over SOAP/HTTPS
1128,casp,CAC App Service Protocol
1129,caspssl,CAC App Service Protocol Encripted
1130,kvm-via-ip,KVM-via-IP Management Service
1131,dfn,Data Flow Network
1132,aplx,MicroAPL APLX
1133,omnivision,OmniVision Communication Service
1134,hhb-gateway,HHB Gateway Control
1135,trim,TRIM Workgroup Service
1136,encrypted_admin,encrypted admin requests
1137,evm,Enterprise Virtual Manager
1138,autonoc,AutoNOC Network Operations Protocol
1139,mxomss,User Message Service
1140,edtools,User Discovery Service
1141,imyx,Infomatryx Exchange
1142,fuscript,Fusion Script
1143,x9-icue,X9 iCue Show Control
1144,audit-transfer,audit transfer
1145,capioverlan,CAPIoverLAN
1146,elfiq-repl,Elfiq Replication Service
1147,bvtsonar,BlueView Sonar Service
1148,blaze,Blaze File Server
1149,unizensus,Unizensus Login Server
1150,winpoplanmess,Winpopup LAN Messenger
1151,c1222-acse,ANSI C12.22 Port
1152,resacommunity,Community Service
1153,nfa,Network File Access
1154,iascontrol-oms,iasControl OMS
1155,iascontrol,Oracle iASControl
1156,dbcontrol-oms,dbControl OMS
1157,oracle-oms,Oracle OMS
1158,olsv,DB Lite Mult-User Server
