port,service,description
4089,ewinstaller,EminentWare Installer
4090,ewdgs,EminentWare DGS
4091,pvxpluscs,Pvx Plus CS Host
4092,sysrqd,sysrq daemon
4093,xtgui,xtgui information service
4094,bre,BRE (Bridge Relay Element)
4095,patrolview,Patrol View
4096,drmsfsd,drmsfsd
4097,dpcp,DPCP
4098,igo-incognito,IGo Incognito Data Port
4099,brlp-0,Braille protocol
4100,brlp-1,Braille protocol
4101,brlp-2,Braille protocol
4102,brlp-3,Braille protocol
4103,shofar,Shofar
4104,synchronite,Synchronite
4105,j-ac,JDL Accounting LAN Service
4106,accel,ACCEL
4107,izm,Instantiated Zero-control Messaging
4108,g2tag,G2 RFID Tag Telemetry Data
4109,xgrid,Xgrid
4110,apple-vpns-rp,Apple VPN Server Reporting Protocol
4111,aipn-reg,AIPN LS Registration
4112,jomamqmonitor,JomaMQMonitor
4113,cds,CDS Transfer Agent
4114,smartcard-tls,smartcard-TLS
4115,hillrserv,Hillr Connection Manager
4116,netscript,Netadmin Systems NETscript service
4117,assuria-slm,Assuria Log Manager
4118,,Reserved
4119,e-builder,e-Builder Application Communication
4120,fprams,Fiber Patrol Alarm Service
4121,z-wave,Z-Wave Protocol
4122,tigv2,Rohill TetraNode Ip Gateway v2
4123,opsview-envoy,Opsview Envoy
4124,ddrepl,Data Domain Replication Service
4125,unikeypro,NetUniKeyServer
4126,nufw,NuFW decision delegation protocol
4127,nuauth,NuFW authentication protocol
4128,fronet,FRONET message protocol
4129,stars,Global Maintech Stars
4130,nuts_dem,NUTS Daemon
4131,nuts_bootp,NUTS Bootp Server
4132,nifty-hmi,NIFTY-Serve HMI protocol
4133,cl-db-attach,Classic Line Database Server Attach
4134,cl-db-request,Classic Line Database Server Request
4135,cl-db-remote,Classic Line Database Server Remote
4136,nettest,nettest
4137,thrtx,Imperfect Networks Server
4138,cedros_fds,Cedros Fraud Detection System
4139,oirtgsvc,Workflow Server
4140,oidocsvc,Document Server
4141,oidsr,Document Replication
4142,vvr-control,VVR Control
4143,tgcconnect,TGCConnect Beacon
4145,vrxpservman,Multum Service Manager
4146,hhb-handheld,HHB Handheld Client
4147,agslb,A10 GSLB Service
